Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Director
American Psycho,2000,A,101 min,Comedy,7.6,Mary Harron
Batoru rowaiaru,2000,,114 min,Action,7.6,Kinji Fukasaku
Billy Elliot,2000,R,110 min,Drama,7.7,Stephen Daldry
"O Brother, Where Art Thou?",2000,U,107 min,Adventure,7.7,Joel Coen
Vampire Hunter D: Bloodlust,2000,U,103 min,Animation,7.7,Yoshiaki Kawajiri
Cast Away,2000,UA,143 min,Adventure,7.8,Robert Zemeckis
Gongdong gyeongbi guyeok JSA,2000,,110 min,Action,7.8,Chan-wook Park
Remember the Titans,2000,U,113 min,Biography,7.8,Boaz Yakin
Wo hu cang long,2000,UA,120 min,Action,7.8,Ang Lee
Almost Famous,2000,A,122 min,Adventure,7.9,Cameron Crowe
Nueve reinas,2000,R,114 min,Crime,7.9,FabiÃ¡n Bielinsky
Dancer in the Dark,2000,U,140 min,Crime,8,Lars von Trier
Amores perros,2000,A,154 min,Drama,8.1,Alejandro G. IÃ±Ã¡rritu
Fa yeung nin wah,2000,U,98 min,Drama,8.1,Kar-Wai Wong
Hera Pheri,2000,U,156 min,Action,8.2,Priyadarshan
Requiem for a Dream,2000,A,102 min,Drama,8.3,Darren Aronofsky
Snatch,2000,UA,104 min,Comedy,8.3,Guy Ritchie
Memento,2000,UA,113 min,Mystery,8.4,Christopher Nolan
Gladiator,2000,UA,155 min,Action,8.5,Ridley Scott
Blow,2001,R,124 min,Biography,7.6,Ted Demme
Enemy at the Gates,2001,A,131 min,Drama,7.6,Jean-Jacques Annaud
Harry Potter and the Sorcerer's Stone,2001,U,152 min,Adventure,7.6,Chris Columbus
The Others,2001,PG-13,101 min,Horror,7.6,Alejandro AmenÃ¡bar
The Royal Tenenbaums,2001,A,110 min,Comedy,7.6,Wes Anderson
Y tu mamÃ¡ tambiÃ©n,2001,A,106 min,Drama,7.6,Alfonso CuarÃ³n
Black Hawk Down,2001,A,144 min,Drama,7.7,Ridley Scott
Das Experiment,2001,R,120 min,Drama,7.7,Oliver Hirschbiegel
Hedwig and the Angry Inch,2001,R,95 min,Comedy,7.7,John Cameron Mitchell
I Am Sam,2001,PG-13,132 min,Drama,7.7,Jessie Nelson
Ocean's Eleven,2001,UA,116 min,Crime,7.7,Steven Soderbergh
Training Day,2001,A,122 min,Crime,7.7,Antoine Fuqua
Shrek,2001,U,90 min,Animation,7.8,Andrew Adamson
Waking Life,2001,R,99 min,Animation,7.8,Richard Linklater
Cowboy Bebop: Tengoku no tobira,2001,U,115 min,Animation,7.9,Shin'ichirÃ´ Watanabe
Mulholland Dr.,2001,R,147 min,Drama,7.9,David Lynch
No Man's Land,2001,R,98 min,Comedy,7.9,Danis Tanovic
Donnie Darko,2001,R,113 min,Drama,8,Richard Kelly
Vizontele,2001,,110 min,Comedy,8,Yilmaz Erdogan
Yeopgijeogin geunyeo,2001,,137 min,Comedy,8,Jae-young Kwak
Dil Chahta Hai,2001,Unrated,183 min,Comedy,8.1,Farhan Akhtar
Lagaan: Once Upon a Time in India,2001,U,224 min,Adventure,8.1,Ashutosh Gowariker
"Monsters, Inc.",2001,U,92 min,Animation,8.1,Pete Docter
A Beautiful Mind,2001,UA,135 min,Biography,8.2,Ron Howard
AmÃ©lie,2001,U,122 min,Comedy,8.3,Jean-Pierre Jeunet
Sen to Chihiro no kamikakushi,2001,U,125 min,Animation,8.6,Hayao Miyazaki
The Lord of the Rings: The Fellowship of the Ring,2001,U,178 min,Action,8.8,Peter Jackson
25th Hour,2002,R,135 min,Drama,7.6,Spike Lee
28 Days Later...,2002,A,113 min,Drama,7.6,Danny Boyle
Boksuneun naui geot,2002,R,129 min,Crime,7.6,Chan-wook Park
Minority Report,2002,A,145 min,Action,7.6,Steven Spielberg
Adaptation.,2002,R,115 min,Comedy,7.7,Spike Jonze
In America,2002,PG-13,105 min,Drama,7.7,Jim Sheridan
Interstate 60: Episodes of the Road,2002,R,116 min,Adventure,7.7,Bob Gale
Road to Perdition,2002,A,117 min,Crime,7.7,Sam Mendes
The Magdalene Sisters,2002,R,114 min,Drama,7.7,Peter Mullan
Lilja 4-ever,2002,R,109 min,Crime,7.8,Lukas Moodysson
The Count of Monte Cristo,2002,PG-13,131 min,Action,7.8,Kevin Reynolds
Hable con ella,2002,R,112 min,Drama,7.9,Pedro AlmodÃ³var
The Bourne Identity,2002,UA,119 min,Action,7.9,Doug Liman
Ying xiong,2002,PG-13,120 min,Action,7.9,Yimou Zhang
Mou gaan dou,2002,UA,101 min,Action,8,Andrew Lau
Catch Me If You Can,2002,A,141 min,Biography,8.1,Steven Spielberg
The Pianist,2002,R,150 min,Biography,8.5,Roman Polanski
Cidade de Deus,2002,A,130 min,Crime,8.6,Fernando Meirelles
The Lord of the Rings: The Two Towers,2002,UA,179 min,Action,8.7,Peter Jackson
21 Grams,2003,UA,124 min,Crime,7.6,Alejandro G. IÃ±Ã¡rritu
Jeux d'enfants,2003,R,93 min,Comedy,7.6,Yann Samuell
The Station Agent,2003,R,89 min,Comedy,7.6,Tom McCarthy
Good Bye Lenin!,2003,R,121 min,Comedy,7.7,Wolfgang Becker
Lost in Translation,2003,UA,102 min,Comedy,7.7,Sofia Coppola
The Last Samurai,2003,UA,154 min,Action,7.7,Edward Zwick
Les triplettes de Belleville,2003,PG-13,80 min,Animation,7.8,Sylvain Chomet
Ondskan,2003,,113 min,Drama,7.8,Mikael HÃ¥fstrÃ¶m
TÃ´kyÃ´ goddofÃ¢zÃ¢zu,2003,UA,90 min,Animation,7.8,Satoshi Kon
Mystic River,2003,A,138 min,Crime,7.9,Clint Eastwood
Big Fish,2003,U,125 min,Adventure,8,Tim Burton
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003,R,103 min,Drama,8,Ki-duk Kim
Dogville,2003,R,178 min,Crime,8,Lars von Trier
